id,state_po,county,democrat,republican,dempct
772,IL,Iroquois,2504.0,9750.0,0.2043414395299494
773,IL,Jersey,2679.0,7748.0,0.2569291263067037
774,IL,Jo Daviess,4462.0,6121.0,0.42161957856940374
775,IL,Kane,103665.0,82734.0,0.5561456874768641
776,IL,Kankakee,18971.0,25129.0,0.4301814058956916
777,IL,Kendall,24884.0,24961.0,0.4992276055772896
778,IL,Knox,10083.0,10737.0,0.48429394812680115
779,IL,LaSalle,19543.0,26689.0,0.4227158677971967
780,IL,Livingston,4023.0,10208.0,0.2826927130911391
781,IL,Macoupin,6689.0,14322.0,0.31835705106848794
782,IL,Mason,2014.0,4058.0,0.3316864295125165
783,IL,Massac,1558.0,4846.0,0.24328544659587759
784,IL,McDonough,5288.0,6795.0,0.43763965902507657
785,IL,McHenry,60803.0,71612.0,0.45918513763546426
786,IL,McLean,36196.0,37237.0,0.4929119060912669
787,IL,Menard,1817.0,4231.0,0.3004298941798942
788,IL,Mercer,3071.0,4807.0,0.3898197512058898
789,IL,Moultrie,1481.0,4455.0,0.24949460916442048
790,IL,Ogle,8050.0,14352.0,0.3593429158110883
791,IL,Peoria,38060.0,35633.0,0.5164669642978302
792,IL,Piatt,2645.0,5634.0,0.31948302935137096
793,IL,Richland,1584.0,5739.0,0.21630479311757475
794,IL,Rock Island,32298.0,26998.0,0.5446910415542364
795,IL,Sangamon,40907.0,49944.0,0.4502647191555404
796,IL,Schuyler,1075.0,2524.0,0.2986940816893582
797,IL,Stark,751.0,1778.0,0.2969553183076315
798,IL,Stephenson,7768.0,11083.0,0.4120736300461514
799,IL,Tazewell,20685.0,38707.0,0.34827922952586204
800,IL,Vermilion,10039.0,19087.0,0.3446748609489803
801,IL,Wabash,1151.0,4047.0,0.22143131973836092
802,IL,Whiteside,11035.0,12615.0,0.46659619450317125
803,IL,Will,151927.0,132720.0,0.5337382793424839
804,IL,Williamson,8581.0,21570.0,0.2846008424264535
805,IL,Woodford,5092.0,13207.0,0.2782665719438221
806,IN,Clay,2306.0,8531.0,0.21278951739411275
807,IN,DeKalb,3942.0,12054.0,0.24643660915228807
808,IN,Fayette,2252.0,6839.0,0.24771752282477175
809,IN,Franklin,1969.0,8669.0,0.1850911825531115
810,IN,Greene,2929.0,10277.0,0.22179312433742238
811,IN,Henry,5124.0,13895.0,0.2694147957305852
812,IN,Jackson,3843.0,12859.0,0.23009220452640403
813,IN,Jefferson,4326.0,8546.0,0.3360783095090118
814,IN,Lawrence,4210.0,14035.0,0.230748150178131
815,IN,Madison,18595.0,32376.0,0.3648152871240509
816,IN,Marion,212899.0,130360.0,0.6202284572290894
817,IN,Marshall,4798.0,12288.0,0.2808147020952827
818,IN,Monroe,34216.0,20592.0,0.6242884250474383
819,IN,Montgomery,3362.0,11059.0,0.23313223770889674
820,IN,Morgan,6040.0,23674.0,0.20327118529985866
821,IN,Perry,3062.0,4556.0,0.40194276713048044
822,IN,Pike,1297.0,4398.0,0.22774363476733978
823,IN,Randolph,2446.0,7517.0,0.24550838100973602
824,IN,Shelby,4247.0,12718.0,0.2503389330975538
825,IN,Washington,2636.0,8209.0,0.24306131857999078
826,IN,Benton,860.0,2579.0,0.2500726955510323
827,IN,Boone,10181.0,19654.0,0.3412435059493883
828,IN,Carroll,1892.0,6273.0,0.23172075933864053
829,IN,Clark,18808.0,30035.0,0.38507053211309705
830,IN,Crawford,1323.0,3015.0,0.3049792531120332
831,IN,Fulton,1960.0,6010.0,0.24592220828105396
832,IN,Grant,7010.0,17008.0,0.29186443500707804
833,IN,Howard,11215.0,23675.0,0.321438807681284
834,IN,Johnson,17318.0,45456.0,0.27587854844362314
835,IN,Newton,1404.0,4077.0,0.2561576354679803
836,IN,Pulaski,1327.0,3854.0,0.2561281605867593
837,IN,Scott,2642.0,6074.0,0.3031206975676916
838,IN,Union,715.0,2445.0,0.22626582278481014
839,IN,White,2590.0,6893.0,0.27312032057365815
840,IN,Lake,116935.0,75625.0,0.6072652679684254
841,IN,Orange,2048.0,5803.0,0.2608584893644122
842,IN,Adams,2805.0,9648.0,0.22524692845097566
843,IN,Hamilton,57263.0,87404.0,0.3958262768979795
844,IN,Martin,881.0,3697.0,0.19244211446046308
845,IN,Putnam,3356.0,10637.0,0.23983420281569356
846,IN,Decatur,2121.0,8490.0,0.19988690981057394
847,IN,Floyd,13945.0,21432.0,0.39418266105096533
848,IN,Hancock,8904.0,25074.0,0.2620519159456119
849,IN,Jasper,3329.0,9382.0,0.26189914247502166
